,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,TimeStamp
96,Afghanistan,22,,,,1.0,21,,0.6,2020-03-18 15:50:06.309058
97,Dominican Republic,21,,1.0,,,20,,2.0,2020-03-18 15:50:06.309058
98,Burkina Faso,20,+5,1.0,1.0,,19,,1.0,2020-03-18 15:50:06.309058
99,New Zealand,20,,,,,20,,4.0,2020-03-18 15:50:06.309058
100,Martinique,19,+4,1.0,,,18,,51.0,2020-03-18 15:50:06.309058
101,Liechtenstein,19,,,,,19,,498.0,2020-03-18 15:50:06.309058
102,Macao,15,+2,,,10.0,5,,23.0,2020-03-18 15:50:06.309058
103,Uzbekistan,15,+4,,,,15,,0.4,2020-03-18 15:50:06.309058
104,Ukraine,14,,2.0,,,12,,0.3,2020-03-18 15:50:06.309058
105,Bangladesh,14,+4,1.0,1.0,3.0,10,,0.09,2020-03-18 15:50:06.309058
106,Jamaica,13,,,,2.0,11,,4.0,2020-03-18 15:50:06.309058
107,Maldives,13,,,,,13,,24.0,2020-03-18 15:50:06.309058
108,Bolivia,12,,,,,12,,1.0,2020-03-18 15:50:06.309058
109,Réunion,12,+3,,,,12,,13.0,2020-03-18 15:50:06.309058
110,Guyana,11,+4,1.0,,,10,,14.0,2020-03-18 15:50:06.309058
111,French Guiana,11,,,,,11,,37.0,2020-03-18 15:50:06.309058
112,Paraguay,11,+2,,,,11,1.0,2.0,2020-03-18 15:50:06.309058
113,Cameroon,10,,,,,10,,0.4,2020-03-18 15:50:06.309058
114,Monaco,9,,,,,9,,229.0,2020-03-18 15:50:06.309058
115,Honduras,9,+1,,,,9,,0.9,2020-03-18 15:50:06.309058
116,Guatemala,8,,1.0,,,7,,0.4,2020-03-18 15:50:06.309058
117,Nigeria,8,+5,,,1.0,7,,0.04,2020-03-18 15:50:06.309058
118,Gibraltar,8,+5,,,2.0,6,,237.0,2020-03-18 15:50:06.309058
119,Guam,8,+3,,,,8,,47.0,2020-03-18 15:50:06.309058
120,Rwanda,8,+1,,,,8,,0.6,2020-03-18 15:50:06.309058
121,Cuba,7,,,,,7,,0.6,2020-03-18 15:50:06.309058
122,DRC,7,+4,,,,7,,0.08,2020-03-18 15:50:06.309058
123,Ghana,7,,,,,7,,0.2,2020-03-18 15:50:06.309058
124,Kenya,7,+3,,,,7,,0.1,2020-03-18 15:50:06.309058
125,Trinidad and Tobago,7,+2,,,,7,,5.0,2020-03-18 15:50:06.309058
126,Channel Islands,6,,,,,6,,35.0,2020-03-18 15:50:06.309058
127,Ivory Coast,6,+2,,,1.0,5,,0.2,2020-03-18 15:50:06.309058
128,Ethiopia,6,,,,,6,,0.05,2020-03-18 15:50:06.309058
129,Mongolia,6,+1,,,,6,,2.0,2020-03-18 15:50:06.309058
130,Puerto Rico,5,,,,,5,,2.0,2020-03-18 15:50:06.309058
131,Aruba,4,+1,,,,4,,37.0,2020-03-18 15:50:06.309058
132,Equatorial Guinea,4,+3,,,,4,,3.0,2020-03-18 15:50:06.309058
133,Seychelles,4,,,,,4,,41.0,2020-03-18 15:50:06.309058
134,Curaçao,3,,,,,3,,18.0,2020-03-18 15:50:06.309058
135,French Polynesia,3,,,,,3,,11.0,2020-03-18 15:50:06.309058
136,Gabon,3,,,,,3,,1.0,2020-03-18 15:50:06.309058
137,Kyrgyzstan,3,+3,,,,3,,0.5,2020-03-18 15:50:06.309058
138,Mayotte,3,,,,,3,,11.0,2020-03-18 15:50:06.309058
139,St. Barth,3,,,,,3,,304.0,2020-03-18 15:50:06.309058
140,Saint Martin,3,+1,,,,3,,78.0,2020-03-18 15:50:06.309058
141,Tanzania,3,+2,,,,3,,0.05,2020-03-18 15:50:06.309058
142,Sudan,2,+1,1.0,,,1,,0.05,2020-03-18 15:50:06.309058
143,Barbados,2,,,,,2,,7.0,2020-03-18 15:50:06.309058
144,Benin,2,+1,,,,2,,0.2,2020-03-18 15:50:06.309058
145,Liberia,2,,,,,2,,0.4,2020-03-18 15:50:06.309058
146,Montenegro,2,,,,,2,,3.0,2020-03-18 15:50:06.309058
147,Namibia,2,,,,,2,,0.8,2020-03-18 15:50:06.309058
148,New Caledonia,2,+2,,,,2,,7.0,2020-03-18 15:50:06.309058
149,Saint Lucia,2,,,,,2,,11.0,2020-03-18 15:50:06.309058
150,U.S. Virgin Islands,2,,,,,2,,19.0,2020-03-18 15:50:06.309058
151,Zambia,2,+2,,,,2,,0.1,2020-03-18 15:50:06.309058
152,Cayman Islands,1,,1.0,,,0,,15.0,2020-03-18 15:50:06.309058
153,Nepal,1,,,,1.0,0,,0.03,2020-03-18 15:50:06.309058
154,Antigua and Barbuda,1,,,,,1,,10.0,2020-03-18 15:50:06.309058
155,Bahamas,1,,,,,1,,3.0,2020-03-18 15:50:06.309058
156,Bhutan,1,,,,,1,,1.0,2020-03-18 15:50:06.309058
157,CAR,1,,,,,1,,0.2,2020-03-18 15:50:06.309058
158,Congo,1,,,,,1,,0.2,2020-03-18 15:50:06.309058
159,Djibouti,1,+1,,,,1,,1.0,2020-03-18 15:50:06.309058
160,Gambia,1,,,,,1,,0.4,2020-03-18 15:50:06.309058
161,Greenland,1,,,,,1,,18.0,2020-03-18 15:50:06.309058
162,Guinea,1,,,,,1,,0.08,2020-03-18 15:50:06.309058
163,Vatican City,1,,,,,1,,1248.0,2020-03-18 15:50:06.309058
164,Mauritania,1,,,,,1,,0.2,2020-03-18 15:50:06.309058
165,Montserrat,1,+1,,,,1,,200.0,2020-03-18 15:50:06.309058
166,St. Vincent Grenadines,1,,,,,1,,9.0,2020-03-18 15:50:06.309058
167,Somalia,1,,,,,1,,0.06,2020-03-18 15:50:06.309058
168,Suriname,1,,,,,1,,2.0,2020-03-18 15:50:06.309058
169,Eswatini,1,,,,,1,,0.9,2020-03-18 15:50:06.309058
170,Togo,1,,,,,1,,0.1,2020-03-18 15:50:06.309058
171,Total:,206900,8679,8272.0,305.0,82889.0,115739,6437.0,26.5,2020-03-18 15:50:06.309058
