,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,TimeStamp
119,Rwanda,8,+1,,,,8,,0.6,2020-03-18 17:37:27.045166
120,Cuba,7,,,,,7,,0.6,2020-03-18 17:37:27.045166
121,DRC,7,+4,,,,7,,0.08,2020-03-18 17:37:27.045166
122,Ghana,7,,,,,7,,0.2,2020-03-18 17:37:27.045166
123,Kenya,7,+3,,,,7,,0.1,2020-03-18 17:37:27.045166
124,Trinidad and Tobago,7,+2,,,,7,,5.0,2020-03-18 17:37:27.045166
125,Channel Islands,6,,,,,6,,35.0,2020-03-18 17:37:27.045166
126,Ivory Coast,6,+2,,,1.0,5,,0.2,2020-03-18 17:37:27.045166
127,Ethiopia,6,,,,,6,,0.05,2020-03-18 17:37:27.045166
128,Mongolia,6,+1,,,,6,,2.0,2020-03-18 17:37:27.045166
129,Seychelles,6,+2,,,,6,,61.0,2020-03-18 17:37:27.045166
130,Puerto Rico,5,,,,,5,,2.0,2020-03-18 17:37:27.045166
131,Guyana,4,,1.0,,,3,,5.0,2020-03-18 17:37:27.045166
132,Aruba,4,+1,,,,4,,37.0,2020-03-18 17:37:27.045166
133,Equatorial Guinea,4,+3,,,,4,,3.0,2020-03-18 17:37:27.045166
134,Curaçao,3,,,,,3,,18.0,2020-03-18 17:37:27.045166
135,French Polynesia,3,,,,,3,,11.0,2020-03-18 17:37:27.045166
136,Gabon,3,,,,,3,,1.0,2020-03-18 17:37:27.045166
137,Kyrgyzstan,3,+3,,,,3,,0.5,2020-03-18 17:37:27.045166
138,Mayotte,3,,,,,3,,11.0,2020-03-18 17:37:27.045166
139,St. Barth,3,,,,,3,,304.0,2020-03-18 17:37:27.045166
140,Saint Martin,3,+1,,,,3,,78.0,2020-03-18 17:37:27.045166
141,Tanzania,3,+2,,,,3,,0.05,2020-03-18 17:37:27.045166
142,Sudan,2,+1,1.0,,,1,,0.05,2020-03-18 17:37:27.045166
143,Barbados,2,,,,,2,,7.0,2020-03-18 17:37:27.045166
144,Benin,2,+1,,,,2,,0.2,2020-03-18 17:37:27.045166
145,Greenland,2,+1,,,,2,,35.0,2020-03-18 17:37:27.045166
146,Liberia,2,,,,,2,,0.4,2020-03-18 17:37:27.045166
147,Mauritania,2,+1,,,,2,,0.4,2020-03-18 17:37:27.045166
148,Montenegro,2,,,,,2,,3.0,2020-03-18 17:37:27.045166
149,Namibia,2,,,,,2,,0.8,2020-03-18 17:37:27.045166
150,New Caledonia,2,+2,,,,2,,7.0,2020-03-18 17:37:27.045166
151,Saint Lucia,2,,,,,2,,11.0,2020-03-18 17:37:27.045166
152,U.S. Virgin Islands,2,,,,,2,,19.0,2020-03-18 17:37:27.045166
153,Zambia,2,+2,,,,2,,0.1,2020-03-18 17:37:27.045166
154,Cayman Islands,1,,1.0,,,0,,15.0,2020-03-18 17:37:27.045166
155,Nepal,1,,,,1.0,0,,0.03,2020-03-18 17:37:27.045166
156,Antigua and Barbuda,1,,,,,1,,10.0,2020-03-18 17:37:27.045166
157,Bahamas,1,,,,,1,,3.0,2020-03-18 17:37:27.045166
158,Bhutan,1,,,,,1,,1.0,2020-03-18 17:37:27.045166
159,CAR,1,,,,,1,,0.2,2020-03-18 17:37:27.045166
160,Congo,1,,,,,1,,0.2,2020-03-18 17:37:27.045166
161,Djibouti,1,+1,,,,1,,1.0,2020-03-18 17:37:27.045166
162,Gambia,1,,,,,1,,0.4,2020-03-18 17:37:27.045166
163,Guinea,1,,,,,1,,0.08,2020-03-18 17:37:27.045166
164,Vatican City,1,,,,,1,,1248.0,2020-03-18 17:37:27.045166
165,Montserrat,1,+1,,,,1,,200.0,2020-03-18 17:37:27.045166
166,St. Vincent Grenadines,1,,,,,1,,9.0,2020-03-18 17:37:27.045166
167,Somalia,1,,,,,1,,0.06,2020-03-18 17:37:27.045166
168,Suriname,1,,,,,1,,2.0,2020-03-18 17:37:27.045166
169,Eswatini,1,,,,,1,,0.9,2020-03-18 17:37:27.045166
170,Togo,1,,,,,1,,0.1,2020-03-18 17:37:27.045166
171,Total:,208457,10239,8279.0,312.0,82909.0,117269,6439.0,26.7,2020-03-18 17:37:27.045166
